sample_id,id,logK,max_age,M_ref,L1,L2,vbk,cv_len,maturity_a,l50,weight_a,weight_b,sex_ratio,h,Lc,age1,age2,reproductive_cycle,rmax,epr_unfished_rmax,alpha,generation_time,inflection_point,amat50,shape,subsample_method,clean_index
467917,467917,13.8087271233753,15,0.358233398750597,57.5351976772458,222.456738086961,0.488761609010586,0.163569339737296,-22.1647092789986,202.456738086961,5.81463486639678e-07,3.41681426466086,0.491021777496415,0.844162871292743,142.066995653559,0,10,1,0.6718,29.8194,0.7266,6.2992,0.3632,4,0.974827317410146,Inverse Transform.D,435578
234442,234442,14.565458614611,16,0.155233791293945,48.5046747406336,192.006318955106,0.77492962392667,0.127575524104759,-20.9149906224737,172.006318955106,5.48797503933958e-07,3.48250637793521,0.482500164541465,0.833150958973582,117.511703968255,0,10,1,0.5872,117.5883,0.1699,8.4961,0.3325,2,0.822141678683159,Inverse Transform.D,218153
368486,368486,12.9233250316304,18,0.283646840661688,68.9214312367298,201.686092629097,0.77794185125388,0.184691383130848,-20.3111810390729,181.977465232241,5.53658149522614e-07,3.50317424696292,0.522690881502987,0.731235816671294,125.221489797985,0,10,1,0.6202,80.3416,0.1355,5.7966,0.3937,2,1.14898791500923,Inverse Transform.D,343040
194706,194706,13.8817958830359,11,0.339759951552718,76.4657426691301,207.050510956476,0.676587376507348,0.0641453312244266,-24.0803396136796,176.944225222868,5.20471261168314e-07,3.51313202953044,0.514356861504201,0.73675484274695,136.208530197534,0,10,1,0.6012,61.4078,0.1823,5.4485,0.4111,2,1.25992479270431,Inverse Transform.D,181229
381570,381570,13.5626239768612,15,0.170057805620971,56.8975908073315,291.753188242681,0.85956629475387,0.0815982416737825,-17.6762378874141,271.753188242681,5.42719186322486e-07,3.42000172041621,0.49197828218758,0.830834415161706,147.841196062987,0,10,1,0.5944,318.1992,0.0617,8.0296,0.3407,2,0.860906947177586,Inverse Transform.D,355215
66743,66743,13.2093733115126,13,0.187443005417585,76.423077957612,344.386254856752,0.490513842827613,0.0973111234605312,-23.9168829450619,176.193542894514,5.37636847213794e-07,3.47593913397206,0.529317037608859,0.817340568039225,151.662131894399,0,10,1,0.6446,710.4009,0.0252,7.4565,0.3394,1,0.854667205244427,Inverse Transform.D,62105
143589,143589,12.9856888960105,11,0.721562831733539,64.8117199732664,220.220455146168,0.432127079260856,0.230277455830947,-19.9508513202993,182.587607591967,5.54248505866141e-07,3.51686565804129,0.493142577955871,0.6717054621576,134.920430398454,0,10,1,0.6454,12.9245,0.6332,3.9952,0.4559,2,1.59191016378389,Inverse Transform.D,133711
236984,236984,14.3595704635956,18,0.309881792334522,61.7125161978062,211.942368901565,0.907260862140674,0.110911352653056,-18.4899643718596,191.942368901565,5.8839800914938e-07,3.51700709567366,0.447347241196688,0.744130408214974,134.927529638837,0,10,1,0.6634,85.2485,0.1365,5.4329,0.3933,2,1.14654218278702,Inverse Transform.D,220530
100291,100291,14.0370203578057,15,0.257630149813033,57.8525660977164,224.649972487771,0.601393380881994,0.24966544136405,-20.9538841731064,163.351597859866,5.24320045982253e-07,3.45030792361051,0.519436271089546,0.759621720849178,116.510673569029,0,10,1,0.6188,87.9072,0.1438,6.3546,0.377,2,1.05062613078948,Inverse Transform.D,93324
448521,448521,13.7907476327242,18,0.172841369518866,69.6137613866109,275.546775238611,0.59006094498763,0.0814077748917043,-15.8243425203689,196.71038438078,5.23933495413505e-07,3.53834489213632,0.49605775753145,0.853010578656561,102.622071299577,0,10,1,0.6746,474.3131,0.0489,8.2347,0.3123,2,0.732390033658898,Inverse Transform.D,417482
435115,435115,14.6731932424396,19,0.18017304902724,68.3919195002754,195.590225721184,0.673050445062317,0.0922954299021512,-20.7247207059184,175.590225721184,5.48386989242679e-07,3.49370553751803,0.475461902649433,0.849686732332313,166.545297117278,0,10,1,0.6282,101.6166,0.2225,8.3044,0.3241,2,0.783854784717438,Inverse Transform.D,405043
369183,369183,14.1372546138395,15,0.679627608492748,66.3422079485984,246.622233699074,0.794754875089712,0.116752176918089,-17.5194268255404,221.624419241352,5.43768821245204e-07,3.4138246366548,0.491912946199214,0.6514021430547,170.290325847236,0,10,1,0.6789,21.857,0.342,3.5953,0.4661,2,1.67828584296132,Inverse Transform.D,343685
127503,127503,14.4091383019269,10,0.855713848095492,48.5011149794049,250.807657544963,0.661068192608614,0.128504048893228,-21.6326240363179,230.807657544963,5.34365812806907e-07,3.54382755363582,0.480497162470973,0.671713399611643,141.731396663976,0,10,1,0.6534,17.6007,0.465,3.7321,0.4663,2,1.68002422464008,Inverse Transform.D,118720
114867,114867,14.3078051685346,16,0.34329125298997,70.4019493282925,258.218680339295,0.678245596818592,0.0756749937310815,-21.2296310086338,238.218680339295,5.44681863024729e-07,3.526036073584,0.537476964307567,0.772969869492645,157.775207794711,0,10,1,0.5873,125.0426,0.1089,5.9663,0.3985,2,1.17869438301263,Inverse Transform.D,106905
19732,19732,14.071208948599,14,0.259603890729885,56.02404757961,250.462931238796,0.593484590768563,0.189257437642664,-24.6654233669602,203.549974673955,5.30780537092925e-07,3.54662871296249,0.518135521224376,0.80507037680892,135.266093371519,0,10,1,0.6246,198.0785,0.0834,6.6731,0.3661,2,0.990364823883057,Inverse Transform.D,18350
428721,428721,13.580334826569,15,0.50004026001766,67.403440288143,201.233825942036,0.565927751542309,0.163919552741572,-24.9782024585442,157.002854405683,5.3864947292902e-07,3.4465727915412,0.504264623440745,0.658646321720251,163.780822012337,0,10,1,0.6132,20.1124,0.3837,4.32,0.4508,2,1.55034691940061,Inverse Transform.D,399098
392670,392670,14.7499178345239,15,0.149650678565051,54.3543080875696,215.104886636843,0.490101423590112,0.21496713059023,-21.8258090483733,144.248731588461,5.20529029741991e-07,3.55861251641654,0.514313816829907,0.866486351500756,145.135933436823,0,10,1,0.6252,259.439,0.1001,8.8774,0.3125,2,0.733240494956917,Inverse Transform.D,365540
75576,75576,14.453140581092,19,0.204964556775828,77.0641413582574,198.20759111084,0.634301028570201,0.112599890772253,-28.0099402836162,109.538411342777,5.43025729525973e-07,3.47883699802709,0.503824605058188,0.720021522297361,136.459543030955,0,10,1,0.6342,105.7713,0.0973,6.6828,0.363,1,0.973763245834762,Inverse Transform.D,70316
463546,463546,15.0463456561076,21,0.300757306736202,63.9337259840685,302.148182708664,0.470899483955338,0.230362983839586,-16.6023043338091,282.148182708664,5.35576564303738e-07,3.42196360762974,0.532756259551622,0.811498656703981,112.487467565012,0,10,1,0.5759,118.4473,0.1454,6.937,0.374,2,1.03374131860134,Inverse Transform.D,431507
368601,368601,14.10420482323,18,0.385163441074257,57.4591241796558,250.152918258122,0.469913090237346,0.228049943502992,-21.7589505559198,184.679564484731,5.1423960986808e-07,3.55855183410011,0.521826586551523,0.734631173117577,129.167706833798,0,10,1,0.5908,95.2326,0.1163,5.5328,0.4115,2,1.26258331458143,Inverse Transform.D,343146
134562,134562,13.5154875099036,17,0.275562439496739,64.5967140069469,237.317586381987,0.497022654203661,0.167477256339043,-20.8547599506543,217.317586381987,5.09217973868799e-07,3.55837629538678,0.504923362434293,0.845657468982457,147.995538189375,0,10,1,0.6193,118.8833,0.1844,7.2163,0.353,4,0.921761851633027,Inverse Transform.D,125315
77472,77472,13.9921422888811,19,0.43609843827674,62.7219131202873,291.766558436857,0.373504566896847,0.1201539917849,-24.6105731566503,202.404874661041,5.23728304088774e-07,3.5090318442569,0.528491317998405,0.748116206223742,142.217212473461,0,10,1,0.5719,83.9967,0.1414,5.5696,0.4164,2,1.29556263980986,Inverse Transform.D,72081
318539,318539,13.9304759702955,20,0.186848008019341,66.528771660832,254.260804786899,0.634374938786476,0.237904527783394,-24.275723612479,189.625333823584,5.54899649929474e-07,3.4740927822931,0.504126414355404,0.809481401351467,144.965819812526,0,10,1,0.6297,246.3086,0.069,7.8305,0.3346,2,0.83193619692321,Inverse Transform.D,296476
447642,447642,13.2513434315969,15,0.210346574321404,74.8463312318885,256.046308236525,0.686257827988738,0.200688892835751,-22.5746559132887,236.046308236525,5.20903187079683e-07,3.483048603405,0.500899822431674,0.792335918550563,132.326436243122,0,10,1,0.5806,206.2687,0.074,7.2751,0.3636,2,0.97695834324446,Inverse Transform.D,416655
