year,fleet,idx,se
2018,obsPFonly,1.98236619609334,1.90318012420934
2019,au,0.894307785035772,0.917765661490003
2019,dwfn,0.794833,1.02707676392023
2019,nz,0.741146251343218,1.26025975043586
2019,obs,1.06426942688063,1.03276223359519
2019,obsNoPF,1.11127929134302,0.933415109304866
2019,obsPFonly,0.806189728889363,0.992990052506125
2020,au,0.804673732032187,0.966291239976036
2020,dwfn,0.742562,1.08952416373805
2020,nz,0.379905261202106,2.75758584889028
2020,obs,0.903228476192471,0.80387228053404
2020,obsNoPF,0.777895750246596,0.640440786153327
2020,obsPFonly,0.484228681866057,0.561339487779487
2021,au,0.878416299035137,1.08628316249958
2021,dwfn,1.23811,1.00037015258603
2021,nz,0.583557282877485,2.38494387745108
2021,obs,1.01688773962664,0.893442614632621
2021,obsNoPF,1.08673482373376,0.926078670242595
2021,obsPFonly,0.865088848645543,0.607274524394779
2022,au,1.20883594504835,1.3086603092977
2022,dwfn,0.912191,1.15825829506492
2022,nz,0.578684345112792,2.77186624615565
2022,obs,0.991131723111647,0.836972857027327
2022,obsNoPF,1.22595344300682,0.947166087736115
2022,obsPFonly,0.505850122061241,0.387981077724517
